Table,Indicator,PCT
WB_Gender,NYGDPPCAPCD,0.7940612434271574
WB_Gender,NYGDPPCAPKD,0.7476028456541911
WB_Gender,NYGNPATLSCD,0.6784410763996288
WB_Gender,NYGNPPCAPPPCD,0.43680791834209715
WB_Gender,SEADT1524LTFEZS,0.15948035879987627
WB_Gender,SEENRPRIMFMZS,0.5881224868543149
WB_Gender,SEENRPRSCFMZS,0.49161769254562326
WB_Gender,SEENRSECOFMZS,0.5032477575007733
WB_Gender,SEENRTERTFMZS,0.44181874420043304
WB_Gender,SELPVPRIM,0.016084132384781936
WB_Gender,SELPVPRIMBMP,0.016084132384781936
WB_Gender,SELPVPRIMBMPFE,0.014290133003402412
WB_Gender,SELPVPRIMBMPMA,0.014290133003402412
WB_Gender,SELPVPRIMFE,0.014290133003402412
WB_Gender,SELPVPRIMMA,0.014290133003402412
WB_Gender,SELPVPRIMOOSFE,0.014290133003402412
WB_Gender,SELPVPRIMOOSMA,0.014290133003402412
WB_Gender,SEPREENRR,0.506093411691927
WB_Gender,SEPREENRRFE,0.45085060315496445
WB_Gender,SEPREENRRMA,0.45085060315496445
WB_Gender,SEPRMCMPLFEZS,0.07590473244664399
WB_Gender,SEPRMCMPLMAZS,0.07590473244664399
WB_Gender,SEPRMCMPLZS,0.07856480049489638
WB_Gender,SEPRMCUATFEZS,0.05957315187132694
WB_Gender,SEPRMCUATMAZS,0.05957315187132694
WB_Gender,SEPRMCUATZS,0.060006186204763376
WB_Gender,SEPRMENRLFEZS,0.5839158676152181
WB_Gender,SEPRMGINTZS,0.44392205381998145
WB_Gender,SEPRMNINTFEZS,0.12465202598206
WB_Gender,SEPRMNINTMAZS,0.12428085369625734
WB_Gender,SEPRMNINTZS,0.12898236931642437
WB_Gender,SEPRMPRS5FEZS,0.18236931642437365
WB_Gender,SEPRMPRS5MAZS,0.18230745437673987
WB_Gender,SEPRMTCHRFEZS,0.47175997525518093
WB_Gender,SEPRMTENR,0.3003402412619858
WB_Gender,SEPRMTENRFE,0.22975564491184658
WB_Gender,SEPRMTENRMA,0.22926074853077638
WB_Gender,SEPRMUNER,0.40699041138261677
WB_Gender,SEPRMUNERFE,0.3295391277451284
WB_Gender,SEPRMUNERMA,0.3294772656974946
WB_Gender,SEPRMUNERZS,0.41391896071759976
WB_Gender,SESCHLIFE,0.4488710176306836
WB_Gender,SESCHLIFEFE,0.3886792452830189
WB_Gender,SESCHLIFEMA,0.3886792452830189
WB_Gender,SESECCMPTLOFEZS,0.33238478193628207
WB_Gender,SESECCMPTLOMAZS,0.3323229198886483
WB_Gender,SESECCMPTLOZS,0.373399319517476
WB_Gender,SESECCUATLOFEZS,0.07522424992267245
WB_Gender,SESECCUATLOMAZS,0.07522424992267245
WB_Gender,SESECCUATLOZS,0.07627590473244665
WB_Gender,SESECCUATPOFEZS,0.05326322301268172
